Time ( Second ),Absorbance,Br2 Concentration,,run 4 (trial 1)
0,-0.0448,-0.000342508,,6 ace 5 acid
5,-0.0449,-0.000343272,,
10,-0.0447,-0.000341743,,
15,-0.0451,-0.000344801,,
20,-0.0446,-0.000340979,,
25,-0.0449,-0.000343272,,
30,-0.0449,-0.000343272,,
35,-0.0447,-0.000341743,,
40,-0.045,-0.000344037,,
45,-0.0459,-0.000350917,,
50,0.3797,0.002902905,,
55,0.3757,0.002872324,,
60,0.3716,0.002840979,,
65,0.3681,0.00281422,,
70,0.3667,0.002803517,,
75,0.3633,0.002777523,,
80,0.3602,0.002753823,,
85,0.3569,0.002728593,,
90,0.3524,0.00269419,,
95,0.3489,0.002667431,,
100,0.3461,0.002646024,,
105,0.3437,0.002627676,,
110,0.3404,0.002602446,,
115,0.336,0.002568807,,
120,0.3308,0.002529052,,
125,0.3263,0.002494648,,
130,0.3223,0.002464067,,
135,0.3187,0.002436544,,
140,0.315,0.002408257,,
145,0.3109,0.002376911,,
150,0.3073,0.002349388,,
155,0.3044,0.002327217,,
160,0.3007,0.00229893,,
165,0.2965,0.00226682,,
170,0.2921,0.00223318,,
175,0.2887,0.002207187,,
180,0.2847,0.002176606,,
185,0.2805,0.002144495,,
190,0.2765,0.002113914,,
195,0.2726,0.002084098,,
200,0.2681,0.002049694,,
205,0.2635,0.002014526,,
210,0.2598,0.001986239,,
215,0.2554,0.001952599,,
220,0.2514,0.001922018,,
225,0.2472,0.001889908,,
230,0.2435,0.001861621,,
235,0.2393,0.001829511,,
240,0.2354,0.001799694,,
245,0.2315,0.001769878,,
250,0.2278,0.00174159,,
255,0.224,0.001712538,,
260,0.2203,0.001684251,,
265,0.2165,0.001655199,,
270,0.2122,0.001622324,,
275,0.2077,0.00158792,,
280,0.2029,0.001551223,,
285,0.1981,0.001514526,,
290,0.194,0.00148318,,
295,0.1895,0.001448777,,
300,0.1849,0.001413609,,
305,0.1811,0.001384557,,
310,0.1769,0.001352446,,
315,0.1724,0.001318043,,
320,0.1687,0.001289755,,
325,0.1652,0.001262997,,
330,0.1613,0.00123318,,
335,0.1566,0.001197248,,
340,0.1519,0.001161315,,
345,0.1475,0.001127676,,
350,0.1427,0.001090979,,
355,0.138,0.001055046,,
360,0.1331,0.001017584,,
365,0.1288,0.000984709,,
370,0.1247,0.000953364,,
375,0.1206,0.000922018,,
380,0.1159,0.000886086,,
385,0.1116,0.000853211,,
390,0.1076,0.00082263,,
395,0.103,0.000787462,,
400,0.0987,0.000754587,,
405,0.0947,0.000724006,,
410,0.0902,0.000689602,,
415,0.0859,0.000656728,,
420,0.0812,0.000620795,,
425,0.0768,0.000587156,,
430,0.0712,0.000544343,,
435,0.0669,0.000511468,,
440,0.0628,0.000480122,,
445,0.0583,0.000445719,,
450,0.0538,0.000411315,,
455,0.0494,0.000377676,,
460,0.0446,0.000340979,,
465,0.0406,0.000310398,,
470,0.0361,0.000275994,,
475,0.0321,0.000245413,,
480,0.0276,0.000211009,,
485,0.0233,0.000178135,,
490,0.0186,0.000142202,,
495,0.0144,0.000110092,,
500,0.0106,8.10398E-05,,
505,0.0093,7.11009E-05,,
510,0.0089,6.80428E-05,,
515,0.0094,7.18654E-05,,
520,0.0091,6.95719E-05,,
525,0.0088,6.72783E-05,,
530,0.0093,7.11009E-05,,
535,0.0087,6.65138E-05,,
540,0.0086,6.57492E-05,,
545,0.0082,6.26911E-05,,
550,0.009,6.88073E-05,,