Time ( Second ),RawData ...,,run 4 (trial 1)
0,-0.0448,,6 ace 5 acid
5,-0.0449,,
10,-0.0447,,
15,-0.0451,,
20,-0.0446,,
25,-0.0449,,
30,-0.0449,,
35,-0.0447,,
40,-0.045,,
45,-0.0459,,
50,0.3797,,
55,0.3757,,
60,0.3716,,
65,0.3681,,
70,0.3667,,
75,0.3633,,
80,0.3602,,
85,0.3569,,
90,0.3524,,
95,0.3489,,
100,0.3461,,
105,0.3437,,
110,0.3404,,
115,0.336,,
120,0.3308,,
125,0.3263,,
130,0.3223,,
135,0.3187,,
140,0.315,,
145,0.3109,,
150,0.3073,,
155,0.3044,,
160,0.3007,,
165,0.2965,,
170,0.2921,,
175,0.2887,,
180,0.2847,,
185,0.2805,,
190,0.2765,,
195,0.2726,,
200,0.2681,,
205,0.2635,,
210,0.2598,,
215,0.2554,,
220,0.2514,,
225,0.2472,,
230,0.2435,,
235,0.2393,,
240,0.2354,,
245,0.2315,,
250,0.2278,,
255,0.224,,
260,0.2203,,
265,0.2165,,
270,0.2122,,
275,0.2077,,
280,0.2029,,
285,0.1981,,
290,0.194,,
295,0.1895,,
300,0.1849,,
305,0.1811,,
310,0.1769,,
315,0.1724,,
320,0.1687,,
325,0.1652,,
330,0.1613,,
335,0.1566,,
340,0.1519,,
345,0.1475,,
350,0.1427,,
355,0.138,,
360,0.1331,,
365,0.1288,,
370,0.1247,,
375,0.1206,,
380,0.1159,,
385,0.1116,,
390,0.1076,,
395,0.103,,
400,0.0987,,
405,0.0947,,
410,0.0902,,
415,0.0859,,
420,0.0812,,
425,0.0768,,
430,0.0712,,
435,0.0669,,
440,0.0628,,
445,0.0583,,
450,0.0538,,
455,0.0494,,
460,0.0446,,
465,0.0406,,
470,0.0361,,
475,0.0321,,
480,0.0276,,
485,0.0233,,
490,0.0186,,
495,0.0144,,
500,0.0106,,
505,0.0093,,
510,0.0089,,
515,0.0094,,
520,0.0091,,
525,0.0088,,
530,0.0093,,
535,0.0087,,
540,0.0086,,
545,0.0082,,
550,0.009,,